#,university,size,U.S. News,csrankings.org,placement rank,best paper awards,total
198,Florida Institute of Technology+,,148,185,,,647
199,University of Mississippi+,,132,,,,648
200,Santa Clara University+,13,163,,166,,653
201,University of Denver+,,187,164,,114,657
202,University of Alabama in Huntsville+,,163,185,,,662
203,New Mexico Institute of Mining and Technology+,,176,185,184,,667
204,Pace University+,,198,,146,,668
205,Tennessee Technological University+,,198,,150,,672
206,Southern Illinois University Carbondale+,,176,185,,,675
206,North Dakota State University+,,176,185,,,675
206,Towson University+,,176,185,,,675
206,University of Arkansas at Little Rock+,,176,185,,,675
210,University of Southern Mississippi+,,198,164,,,676
210,Louisiana Tech University+,,187,,165,,676
212,North Carolina Agricultural and Technical State University+,,163,,,,679
212,Wright State University+,,163,,,,679
214,University of New Orleans+,,198,185,179,,684
215,University of Bridgeport+,,198,,164,,686
216,Marquette University+,,176,,189,,689
216,University of Toledo+,,187,,178,,689
218,"Embry-Riddle Aeronautical University, Daytona Beach+",,176,,,,692
219,University of South Alabama+,,205,,168,,697
220,Chapman University+,,205,,,100,699
221,Bowie State University+,,187,,,,703
221,Dakota State University+,,187,,,,703
221,Kennesaw State University+,,187,,,,703
221,Tennessee State University+,,187,,,,703
221,University of Puerto Rico-Mayaguez+,,187,,,,703
226,Nova Southeastern University+,,205,185,,,704
227,The Catholic University of America+,,205,,177,,706
228,Claremont Graduate University+,,198,,,,714
229,LIU Post+,,205,,,,721
229,Walden University+,,205,,,,721
